1,0,0,0.6666667,0
0,1,0,0.6666667,0
1,1,-1,0.5,1112.2831
2,1,0,0,2827.2654
1,2,0,0,2572.68044
0,3,0,0.6666667,-2267
3,1,-1,0.5,1720.4491
2,2,1,0,7073.9156
1,3,-1,0.5,1153.7603
4,1,0,0.6666667,1336.3592
3,2,0,0,5512.1325
2,3,0,0,5266.1325
1,4,0,0.6666667,18
5,1,-1,0.75,961.6395
4,2,1,0,4878.5199
3,3,-1,0.5,5332.3312
2,4,1,0,4487.2478
1,5,-1,0.75,-467
6,1,0,0.6666667,940
5,2,0,0,4123.0578
4,3,0,0.6666667,5606.4401
3,4,0,0.6666667,5371.5487
2,5,0,0,3558.7055
6,2,1,0,3924.521
5,3,-1,0.75,5159.7124
4,4,1,1,7062.4356
3,5,-1,0.75,4717.1551
2,6,1,0,3101.5242
7,2,0,0,3349.038
6,3,0,0.6666667,5037.7685
5,4,0,1.2,6462.6693
4,5,0,1.2,6257.0713
3,6,0,0.6666667,4337.4233
8,2,1,0,2995.134
7,3,-1,0.5,4531.3512
6,4,1,1,6497.6306
5,5,-1,1.5,6475.0835
4,6,1,1,6032.0426
3,7,-1,0.5,3643.6724
8,3,0,0,4155.3817
7,4,0,0.6666667,5952.5402
6,5,0,1.2,6927.7323
5,6,0,1.2,6676.4563
4,7,0,0.6666667,5358.4023
3,8,0,0,3162.4372
9,3,-1,0.5,3791.5999
8,4,1,0,5720.7223
7,5,-1,0.75,6631.2237
6,6,1,1,7680.1446
5,7,-1,0.75,6170.11
4,8,1,0,4881.9755
10,3,0,0.6666667,3507.6307
9,4,0,0.6666667,5241.4359
8,5,0,0,6496.4194
7,6,0,0.6666667,7469.8495
6,7,0,0.6666667,7238.8634
5,8,0,0,5811.7636
4,9,0,0.6666667,4297
10,4,1,1,4993.8973
9,5,-1,0.75,6101.6451
8,6,1,0,7520.3198
7,7,-1,0.5,7475.6148
6,8,1,0,7052.2783
5,9,-1,0.75,5285.2091
11,4,0,1.2,4540.9708
10,5,0,1.2,5880.0438
9,6,0,0.6666667,7100.1696
8,7,0,0,7699.4603
7,8,0,0,7463.6915
6,9,0,0.6666667,6497.4597
5,10,0,1.2,4868.7285
12,4,1,1.3333334,4285.2851
11,5,-1,1.5,5507.3535
10,6,1,1,6922.0546
9,7,-1,0.5,7373.7971
8,8,1,0,7976.2072
7,9,-1,0.5,6964.049
6,10,1,1,6083.1777
12,5,0,1.7142857,5269.6677
11,6,0,1.2,6558.0262
10,7,0,0.6666667,7286.2294
9,8,0,0,7750.7291
8,9,0,0,7542.3284
7,10,0,0.6666667,6640.4991
6,11,0,1.2,5522.7653
13,5,-1,1.875,4976.6306
12,6,1,1.3333334,6426.1321
11,7,-1,0.75,7038.5627
10,8,1,0,7767.0981
9,9,-1,0.5,7631.6383
8,10,1,0,7341.2577
7,11,-1,0.75,6202.2176
14,5,0,2,4719.6346
13,6,0,1.4285715,6118.274
12,7,0,0.8,6948.5452
11,8,0,0,7566.4952
10,9,0,0.6666667,7779.0192
9,10,0,0.6666667,7567.3431
8,11,0,0,6937.8864
7,12,0,0.8,5901.4992
15,5,-1,1.875,4405.6529
14,6,1,1.5,5961.4356
13,7,-1,0.8333333,6709.1717
12,8,1,0,7568.5707
11,9,-1,0.75,7720.1351
10,10,1,1,8032.2412
9,11,-1,0.75,7298.5028
8,12,1,0,6728.0252
16,5,0,1.7142857,4152.5265
15,6,0,1.4285715,5674
14,7,0,0.85714287,6609.0159
13,8,0,0,7389.3747
12,9,0,0.8,7738.2934
11,10,0,1.2,7971.7136
10,11,0,1.2,7765.5581
9,12,0,0.8,7105.0317
8,13,0,0,6297
16,6,1,1.3333334,5421.0778
