1,0,0
0,1,0
1,1,1112.2831
2,1,2827.2654
1,2,2572.68044
0,3,-2267
3,1,1720.4491
2,2,7073.9156
1,3,1153.7603
4,1,1336.3592
3,2,5512.1325
2,3,5266.1325
1,4,18
5,1,961.6395
4,2,4878.5199
3,3,5332.3312
2,4,4487.2478
1,5,-467
6,1,940
5,2,4123.0578
4,3,5606.4401
3,4,5371.5487
2,5,3558.7055
6,2,3924.521
5,3,5159.7124
4,4,7062.4356
3,5,4717.1551
2,6,3101.5242
7,2,3349.038
6,3,5037.7685
5,4,6462.6693
4,5,6257.0713
3,6,4337.4233
8,2,2995.134
7,3,4531.3512
6,4,6497.6306
5,5,6475.0835
4,6,6032.0426
3,7,3643.6724
8,3,4155.3817
7,4,5952.5402
6,5,6927.7323
5,6,6676.4563
4,7,5358.4023
3,8,3162.4372
9,3,3791.5999
8,4,5720.7223
7,5,6631.2237
6,6,7680.1446
5,7,6170.11
4,8,4881.9755
10,3,3507.6307
9,4,5241.4359
8,5,6496.4194
7,6,7469.8495
6,7,7238.8634
5,8,5811.7636
4,9,4297
10,4,4993.8973
9,5,6101.6451
8,6,7520.3198
7,7,7475.6148
6,8,7052.2783
5,9,5285.2091
11,4,4540.9708
10,5,5880.0438
9,6,7100.1696
8,7,7699.4603
7,8,7463.6915
6,9,6497.4597
5,10,4868.7285
12,4,4285.2851
11,5,5507.3535
10,6,6922.0546
9,7,7373.7971
8,8,7976.2072
7,9,6964.049
6,10,6083.1777
12,5,5269.6677
11,6,6558.0262
10,7,7286.2294
9,8,7750.7291
8,9,7542.3284
7,10,6640.4991
6,11,5522.7653
13,5,4976.6306
12,6,6426.1321
11,7,7038.5627
10,8,7767.0981
9,9,7631.6383
8,10,7341.2577
7,11,6202.2176
14,5,4719.6346
13,6,6118.274
12,7,6948.5452
11,8,7566.4952
10,9,7779.0192
9,10,7567.3431
8,11,6937.8864
7,12,5901.4992
15,5,4405.6529
14,6,5961.4356
13,7,6709.1717
12,8,7568.5707
11,9,7720.1351
10,10,8032.2412
9,11,7298.5028
8,12,6728.0252
16,5,4152.5265
15,6,5674
14,7,6609.0159
13,8,7389.3747
12,9,7738.2934
11,10,7971.7136
10,11,7765.5581
9,12,7105.0317
8,13,6297
16,6,5421.0778
15,7,6378.5347
14,8,7364.8722
13,9,7624.2954
12,10,8080.4656
11,11,7915.6624
10,12,7662.7645
9,13,6782
8,14,6044
17,6,5077
16,7,6236.6721
15,8,7163.4856
14,9,7622.3447
13,10,7955.2561
12,11,8111.4936
11,12,7901.1229
10,13,7335.7275
9,14,6554
17,7,5887
16,8,7039.6855
15,9,7463.5831
14,10,7993.3252
13,11,8063.4882
12,12,8260.7103
11,13,7649.5806
10,14,7167.2329
9,15,6165
18,7,5613
17,8,6727.8058
16,9,7336.3065
15,10,7839.7994
14,11,8101.3979
13,12,8223.5028
12,13,8021.1366
11,14,7480.1109
10,15,6794
18,8,6497.479
17,9,7082.2497
16,10,7751.911
15,11,8004.2013
14,12,8333.8711
13,13,8149.7653
12,14,7924.7083
11,15,7198
10,16,6525
19,8,6185
18,9,6879.6662
17,10,7520.4151
16,11,7956.9467
15,12,8263.8525
14,13,8331.5533
13,14,8124.342
12,15,7661.0894
11,16,6960
20,8,5988
19,9,6626.8567
18,10,7388.3463
17,11,7799.2644
16,12,8272.4531
15,13,8309.8969
14,14,8447.7445
13,15,7907.4842
12,16,7478.7911
11,17,6587
20,9,6444.0314
19,10,7167.0673
18,11,7682.1522
17,12,8113.5317
16,13,8348.4647
15,14,8448.6361
14,15,8251.2368
13,16,7746.3826
12,17,7129
11,18,6276
21,9,6205
20,10,7034.5317
19,11,7501.9685
18,12,8054.425
17,13,8261.1049
16,14,8520.6549
15,15,8353.5064
14,16,8122.7081
13,17,7472.1698
12,18,6866
22,9,6011
21,10,6813.0902
20,11,7398.6778
19,12,7869.1886
18,13,8225.518
17,14,8458.2916
16,15,8481.1677
15,16,8281.8013
14,17,7869.2101
13,18,7252
12,19,6487
22,10,6671
21,11,7219.8815
20,12,7803.8411
19,13,8100.3449
18,14,8481.469
17,15,8464.1203
16,16,8493.1301
15,17,8072.4058
14,18,7700.0089
13,19,6920
23,10,6436
22,11,7089.9262
21,12,7636.4382
20,13,8020.6172
19,14,8361.0596
18,15,8513.8073
17,16,8497.6304
16,17,8304.7557
15,18,7928.9559
14,19,7392
13,20,6657
24,10,6287
23,11,6886.4377
22,12,7550.3919
21,13,7860.3506
20,14,8337.1659
19,15,8448.1856
18,16,8583.4986
17,17,8398.9706
16,18,8197.6724
15,19,7670
14,20,7173
24,11,6745
23,12,7356.2338
22,13,7787.1243
21,14,8169.5644
20,15,8446.2496
19,16,8537.8511
18,17,8520.279
17,18,8327.4621
16,19,7965.8409
15,20,7476
14,21,6828
25,11,6557
24,12,7244.4202
23,13,7623.5154
22,14,8112.5199
21,15,8307.8692
20,16,8575.39
19,17,8521.9322
18,18,8519.9096
17,19,8142.2233
16,20,7815.8799
15,21,7166
26,11,6403
25,12,7055.1115
24,13,7531.316
23,14,7952.9033
22,15,8267.5561
21,16,8459.9363
20,17,8570.2816
19,18,8527.1406
18,19,8339.848
17,20,8003.4567
16,21,7525
15,22,6926
27,11,6216
26,12,6928
25,13,7370
24,14,7892.8297
23,15,8147.2749
22,16,8448.7829
21,17,8505.4817
20,18,8614.2807
19,19,8438.0593
18,20,8240.0434
17,21,7751
16,22,7319
28,11,6056
27,12,6734
26,13,7260
25,14,7730.9793
24,15,8097.9701
23,16,8344.2698
22,17,8494.4032
21,18,8562.5988
